# Data source: https://raw.githubusercontent.com/kaz-ogiwara/covid19/master/data/prefectures.csv
# Data provenance: https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000121431_00086.html
# License: MIT license
time	cases	deaths	hospitalized	icu	recovered
2020-03-11	2				
2020-03-12	2				
2020-03-13	2				
2020-03-14	2				
2020-03-15	2				
2020-03-16	2				
2020-03-17	2				
2020-03-18	2	0			0
2020-03-19	2	0			0
2020-03-20	2	0			0
2020-03-21	2	0			0
2020-03-22	2	0			1
2020-03-23	2	0			1
2020-03-24	4	0			1
2020-03-25	4	0			1
2020-03-26	4	0			2
2020-03-27	4	0			2
2020-03-28	4	0			2
2020-03-29	4	0			2
2020-03-30	5	0			2
2020-03-31	6	0			2
2020-04-01	8	0			2
2020-04-02	9	0			2
2020-04-03	9	0			2
2020-04-04	11	0			2
2020-04-05	13	0			2
2020-04-06	14	0			2
2020-04-07	19	0			2
2020-04-08	22	0			2
2020-04-09	24	0			2
2020-04-10	27	0			2
2020-04-11	32	0			2
2020-04-12	35	0			2
2020-04-13	35	0			2
2020-04-14	36	0			2
2020-04-15	39	0			2
2020-04-16	43	0			9
2020-04-17	46	0			9
2020-04-18	48	0			9
2020-04-19	49	0			9
2020-04-20	49	0			9
2020-04-21	50	0			9
2020-04-22	51	0			22
2020-04-23	51	0			22
2020-04-24	51	0			22
2020-04-25	51	0			22
2020-04-26	51	0			22
2020-04-27	51	0			22
2020-04-28	52	0			23
2020-04-29	52	0			24
2020-04-30	52	0			24
2020-05-01	54	0			29
2020-05-02	55	0			29
2020-05-03	56	0			29
2020-05-04	56	0			29
2020-05-05	56	0			29
2020-05-06	56	0			29
2020-05-07	56	0			29
2020-05-08	56	0			48
2020-05-09	56	0			48
2020-05-10	56	0			48
2020-05-11	56	0			49
2020-05-12	56	0			49
2020-05-13	57	0			51
2020-05-14	57	0			51
2020-05-15	57	0			51
2020-05-16	57	0			51
2020-05-17	57	0			51
2020-05-18	57	0			51
