# Data source: https://www.ecdc.europa.eu/sites/default/files/documents/COVID-19-geographic-disbtribution-worldwide-<DATE>-xlsx
# Data provenance: European Centre for Disease Prevention and Control
# License: The downloadable data file is updated daily and contains the latest available public data on COVID-19. Public-use data files allows users to manipulate the data in a format appropriate for their analyses. Users of ECDC public-use data files must comply with data use restrictions to ensure that the information will be used solely for statistical analysis or reporting purposes.
time	cases	deaths	hospitalized	ICU	recovered
2019-12-31	0	0			
2020-01-01	0	0			
2020-01-02	0	0			
2020-01-03	0	0			
2020-01-04	0	0			
2020-01-05	0	0			
2020-01-06	0	0			
2020-01-07	0	0			
2020-01-08	0	0			
2020-01-09	0	0			
2020-01-10	0	0			
2020-01-11	0	0			
2020-01-12	0	0			
2020-01-13	0	0			
2020-01-14	0	0			
2020-01-15	0	0			
2020-01-16	0	0			
2020-01-17	0	0			
2020-01-18	0	0			
2020-01-19	0	0			
2020-01-20	0	0			
2020-01-21	0	0			
2020-01-22	0	0			
2020-01-23	0	0			
2020-01-24	0	0			
2020-01-25	0	0			
2020-01-26	0	0			
2020-01-27	0	0			
2020-01-28	0	0			
2020-01-29	0	0			
2020-01-30	0	0			
2020-01-31	3	0			
2020-02-01	3	0			
2020-02-02	3	0			
2020-02-03	3	0			
2020-02-04	3	0			
2020-02-05	3	0			
2020-02-06	3	0			
2020-02-07	3	0			
2020-02-08	3	0			
2020-02-09	3	0			
2020-02-10	3	0			
2020-02-11	3	0			
2020-02-12	3	0			
2020-02-13	3	0			
2020-02-14	3	0			
2020-02-15	3	0			
2020-02-16	3	0			
2020-02-17	3	0			
2020-02-18	3	0			
2020-02-19	3	0			
2020-02-20	3	0			
2020-02-21	3	0			
2020-02-22	17	0			
2020-02-23	79	2			
2020-02-24	132	2			
2020-02-25	229	6			
2020-02-26	322	11			
2020-02-27	400	12			
2020-02-28	650	17			
2020-02-29	888	21			
2020-03-01	1128	29			
2020-03-02	1689	35			
2020-03-03	1835	52			
2020-03-04	2502	80			
2020-03-05	3089	107			
2020-03-06	3858	148			
2020-03-07	4636	197			
2020-03-08	5883	233			
2020-03-09	7375	366			
2020-03-10	9172	464			
2020-03-11	10149	631			
2020-03-12	12462	827			
2020-03-13	15113	1016			
2020-03-14	17660	1268			
2020-03-15	17750	1441			
2020-03-16	23980	1811			
2020-03-17	27980	2158			
2020-03-18	31506	2505			
2020-03-19	35713	2978			
2020-03-20	41035	3407			
2020-03-21	47021	4032			
2020-03-22	53578	4827			
2020-03-23	59138	5476			
2020-03-24	63927	6077			
2020-03-25	69176	6820			
2020-03-26	74386	7505			
2020-03-27	80539	8165			
2020-03-28	86498	9136			
2020-03-29	92472	10023			
