# Data source: https://www.ecdc.europa.eu/sites/default/files/documents/COVID-19-geographic-disbtribution-worldwide-<DATE>-xlsx
# Data provenance: European Centre for Disease Prevention and Control
# License: The downloadable data file is updated daily and contains the latest available public data on COVID-19. Public-use data files allows users to manipulate the data in a format appropriate for their analyses. Users of ECDC public-use data files must comply with data use restrictions to ensure that the information will be used solely for statistical analysis or reporting purposes.
time	cases	deaths	hospitalized	ICU	recovered
2019-12-31	0	0			
2020-01-01	0	0			
2020-01-02	0	0			
2020-01-03	0	0			
2020-01-04	0	0			
2020-01-05	0	0			
2020-01-06	0	0			
2020-01-07	0	0			
2020-01-08	0	0			
2020-01-09	0	0			
2020-01-10	0	0			
2020-01-11	0	0			
2020-01-12	0	0			
2020-01-13	0	0			
2020-01-14	0	0			
2020-01-15	0	0			
2020-01-16	0	0			
2020-01-17	0	0			
2020-01-18	0	0			
2020-01-19	0	0			
2020-01-20	0	0			
2020-01-21	1	0			
2020-01-22	1	0			
2020-01-23	1	0			
2020-01-24	1	0			
2020-01-25	2	0			
2020-01-26	2	0			
2020-01-27	5	0			
2020-01-28	5	0			
2020-01-29	5	0			
2020-01-30	5	0			
2020-01-31	6	0			
2020-02-01	7	0			
2020-02-02	8	0			
2020-02-03	11	0			
2020-02-04	11	0			
2020-02-05	11	0			
2020-02-06	12	0			
2020-02-07	12	0			
2020-02-08	12	0			
2020-02-09	12	0			
2020-02-10	12	0			
2020-02-11	13	0			
2020-02-12	13	0			
2020-02-13	14	0			
2020-02-14	15	0			
2020-02-15	15	0			
2020-02-16	15	0			
2020-02-17	15	0			
2020-02-18	15	0			
2020-02-19	15	0			
2020-02-20	15	0			
2020-02-21	16	0			
2020-02-22	35	0			
2020-02-23	35	0			
2020-02-24	35	0			
2020-02-25	53	0			
2020-02-26	53	0			
2020-02-27	59	0			
2020-02-28	60	0			
2020-02-29	66	0			
2020-03-01	69	1			
2020-03-02	89	2			
2020-03-03	103	6			
2020-03-04	125	9			
2020-03-05	159	11			
2020-03-06	233	12			
2020-03-07	338	14			
2020-03-08	433	17			
2020-03-09	554	21			
2020-03-10	754	26			
2020-03-11	1025	28			
2020-03-12	1312	30			
2020-03-13	1663	40			
2020-03-14	2174	47			
2020-03-15	2951	57			
2020-03-16	3774	69			
2020-03-17	4661	85			
2020-03-18	6427	108			
2020-03-19	9415	150			
2020-03-20	14250	150			
2020-03-21	19624	260			
2020-03-22	26747	340			
2020-03-23	35206	471			
2020-03-24	46442	590			
2020-03-25	55231	801			
2020-03-26	69194	1050			
2020-03-27	85991	1296			
2020-03-28	104686	1707			
2020-03-29	124665	2191			
